station_id,station_name,latitude,longitude
3140,1 Ave & E 78 St,40.77140426,-73.9535166
334,W 20 St & 7 Ave,40.74238787,-73.99726235
3129,Queens Plaza North & Crescent St,40.75110165,-73.94073717
223,W 13 St & 7 Ave,40.73781509,-73.99994661
344,Monroe St & Bedford Ave,40.6851443,-73.95380904
3109,Banker St & Meserole Ave,40.72606,-73.95621
509,9 Ave & W 22 St,40.7454973,-74.00197139
3064,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926
3345,Madison Ave & E 99 St,40.78948541553215,-73.95242929458618
3585,Union St & Bedford Ave,40.6691783,-73.9554162
3368,5 Ave & 3 St,40.6728155,-73.98352355
405,Washington St & Gansevoort St,40.739323,-74.008119
245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874
3059,Pulaski St & Marcus Garvey Blvd,40.6933982,-73.939877
331,Pike St & Monroe St,40.71173107,-73.99193043
3289,W 90 St & Amsterdam Ave,40.79017948095081,-73.97288918495178
3759,Irving Ave & Jefferson St,40.70538,-73.92535
3321,Clinton St & Union St,40.6831164,-73.99785267
250,Lafayette St & Jersey St,40.72456089,-73.99565293
330,Reade St & Broadway,40.71450451,-74.00562789
529,W 42 St & 8 Ave,40.7575699,-73.99098507
3852,Stewart Ave & Johnson Ave,40.70869,-73.92587
360,William St & Pine St,40.70717936,-74.00887308
379,W 31 St & 7 Ave,40.749156,-73.9916
262,Washington Park,40.6917823,-73.9737299
340,Madison St & Clinton St,40.71269042,-73.98776323
258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458
363,West Thames St,40.70834698,-74.01713445
3552,W 113 St & Broadway,40.805973,-73.964928
2021,W 45 St & 8 Ave,40.75929124,-73.98859651
3790,Henry St & Middagh St,40.7003,-73.991581
342,Columbia St & Rivington St,40.71739973,-73.98016555
3063,Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108
3056,Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465
487,E 20 St & FDR Drive,40.73314259,-73.97573881
494,W 26 St & 8 Ave,40.74734825,-73.99723551
3772,Devoe St & Morgan Ave,40.713811,-73.93515
3314,W 95 St & Broadway,40.7937704,-73.971888
489,10 Ave & W 28 St,40.75066386,-74.00176802
3869,Van Buren St & Broadway,40.692,-73.92617
507,E 25 St & 2 Ave,40.73912601,-73.97973776
478,11 Ave & W 41 St,40.76030096,-73.99884222
484,W 44 St & 5 Ave,40.75500254,-73.98014437
3042,Fulton St & Utica Ave,40.6794268,-73.9298911
3260,Mercer St & Bleecker St,40.72706363348306,-73.99662137031554
3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386
3096,Union Ave & N 12 St,40.71924,-73.95242
3523,24 Ave & 29 St,40.7729,-73.916142
3553,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145
3691,28 Ave & 44 St,40.76408932350688,-73.91065120697021
268,Howard St & Centre St,40.71910537,-73.99973337
3082,Hope St & Union Ave,40.71167351,-73.95141312
408,Market St & Cherry St,40.71076228,-73.99400398
167,E 39 St & 3 Ave,40.7489006,-73.97604882
3521,Lenox Ave & W 111 St,40.7987859,-73.9523
328,Watts St & Greenwich St,40.72405549,-74.00965965
411,E 6 St & Avenue D,40.72228087,-73.97668709
3414,Bergen St & Flatbush Ave,40.680944723477296,-73.97567331790923
3392,Commerce St & Van Brunt St,40.6812117,-74.00860912
3716,40 Ave & Crescent St,40.7535992020056,-73.93795609474182
3756,White St & Moore St,40.704508,-73.9351
3071,Boerum St & Broadway,40.70538077,-73.94976519
389,Broadway & Berry St,40.71044554,-73.96525063
3429,Hanson Pl & Ashland Pl,40.68506807308177,-73.97790759801863
3080,S 4 St & Rodney St,40.70934,-73.95608
403,E 2 St & 2 Ave,40.72502876,-73.99069656
399,Lafayette Ave & St James Pl,40.68851534,-73.9647628
3789,Fulton St & Irving Pl,40.68186,-73.959432
471,Grand St & Havemeyer St,40.71286844,-73.95698119
3147,E 85 St & 3 Ave,40.77801203,-73.95407149
3815,E 51 St & 2 Ave,40.755293,-73.967641
435,W 21 St & 6 Ave,40.74173969,-73.99415556
3516,31 St & Astoria Blvd,40.7699176,-73.9184057
3463,E 16 St & Irving Pl,40.735367055605394,-73.98797392845154
3782,Brooklyn Bridge Park - Pier 2,40.698458,-73.997178
532,S 5 Pl & S 5 St,40.710451,-73.960876
3780,Wyckoff Av & Stanhope St,40.703545,-73.917775
3100,Nassau Ave & Newell St,40.724812564400175,-73.94752621650696
3359,E 68 St & Madison Ave,40.7691572,-73.96703464
3761,Cedar St & Myrtle Ave,40.697842,-73.926241
3822,Bushwick Ave & Forrest St,40.70076,-73.93641
3318,2 Ave & E 96 St,40.7839636,-73.9471673
224,Spruce St & Nassau St,40.71146364,-74.00552427
368,Carmine St & 6 Ave,40.73038599,-74.00214988
3714,Division Ave & Hooper St,40.70684203101325,-73.9544353965357
3556,24 St & 41 Ave,40.7527085,-73.9397405
3072,Leonard St & Boerum St,40.70583339,-73.94644578
393,E 5 St & Avenue C,40.72299208,-73.97995466
296,Division St & Bowery (old),40.71413089,-73.9970468
3598,Newton Rd & 44 St,40.7595701,-73.9142678
483,E 12 St & 3 Ave,40.73223272,-73.98889957
3498,Pleasant Ave & E 120 St,40.7974772,-73.9311847
3002,South End Ave & Liberty St,40.711512,-74.015756
3758,George St & Wilson Ave,40.702997,-73.92997
3112,Milton St & Franklin St,40.72906,-73.95779
474,5 Ave & E 29 St,40.7451677,-73.98683077
496,E 16 St & 5 Ave,40.73726186,-73.99238967
3739,Perry St & Greenwich Ave,40.735918,-74.000939
3378,E 76 St & Park Ave,40.773763,-73.96222088
3592,Crescent St & Broadway,40.7633589,-73.9286471
3151,E 81 St & York Ave,40.7728384,-73.94989233
3065,Union Ave & Wallabout St,40.70029511,-73.95032283
3095,Graham Ave & Herbert St,40.71929301,-73.94500379
120,Lexington Ave & Classon Ave,40.68676793,-73.95928168
3893,Rockaway Ave & Bainbridge St,40.68319988172761,-73.91166642308235
3069,Lorimer St & Broadway,40.70411791,-73.94818595
3313,6 Ave & 12 St,40.6663181,-73.9854617
3517,31 St & Hoyt Ave N,40.7711528,-73.9170074
473,Rivington St & Chrystie St,40.72110063,-73.9919254
3424,E 106 St & Lexington Ave,40.791976,-73.945993
391,Clark St & Henry St,40.69760127,-73.99344559
302,Avenue D & E 3 St,40.72082834,-73.97793172
3452,Bayard St & Leonard St,40.71915571696044,-73.94885390996933
3106,Driggs Ave & N Henry St,40.72325,-73.94308
3515,24 Ave & 26 St,40.774591,-73.918544
3860,Wilson Ave & Troutman St,40.70166,-73.92754
3531,Frederick Douglass Blvd & W 129 St,40.8125511,-73.9492286
358,Christopher St & Greenwich St,40.73291553,-74.00711384
244,Willoughby Ave & Hall St,40.69196035,-73.96536851
466,W 25 St & 6 Ave,40.74395411,-73.99144871
2000,Front St & Washington St,40.70255088,-73.98940236
3857,Engert Ave & McGuinness Blvd,40.72158,-73.94546
3344,Pioneer St & Van Brunt St,40.679043,-74.011169
3081,Graham Ave & Grand St,40.711863,-73.944024
3579,Sterling Pl & Bedford Ave,40.672695,-73.954131
361,Allen St & Hester St,40.71605866,-73.99190759
3400,E 110 St & Madison Ave,40.7961535,-73.94782145
3379,E 103 St & Lexington Ave,40.7903051,-73.94755757
3528,Steinway St & 23 Ave,40.7713937,-73.9077436
3870,Melrose St & Broadway,40.697481,-73.935877
442,W 27 St & 7 Ave,40.746647,-73.993915
3885,Onderdonk Ave & Gates Ave,40.70413,-73.90737
3584,Eastern Pkwy & Franklin Ave,40.6707767,-73.9576801
3339,Berkeley Pl & 6 Ave,40.6765304,-73.97846879
3117,Franklin St & Dupont St,40.73564,-73.95866
3323,W 106 St & Central Park West,40.7981856,-73.9605909006
3832,Central Ave & Weirfield St,40.69055,-73.91181
459,W 20 St & 11 Ave,40.746745,-74.007756
3830,Halsey St & Evergreen Ave,40.68858,-73.91227
275,Washington Ave & Greene Ave,40.68650065,-73.96563307
3604,Rogers Ave & Sterling St,40.6630619,-73.9538746
79,Franklin St & W Broadway,40.71911552,-74.00666661
388,W 26 St & 10 Ave,40.749717753,-74.002950346
3351,E 102 St & 1 Ave,40.7869946,-73.94164802
445,E 10 St & Avenue A,40.72740794,-73.98142006
3715,Driggs Ave & N 9 St,40.71816969454208,-73.95520135760307
265,Stanton St & Chrystie St,40.72229346,-73.99147535
316,Fulton St & William St,40.70955958,-74.00653609
3077,Stagg St & Union Ave,40.70877084,-73.95095259
3658,W 18 St & 9 Ave,40.7435337324616,-74.00367558002472
392,Jay St & Tech Pl,40.695065,-73.987167
3052,Lewis Ave & Madison St,40.686312,-73.935775
3048,Putnam Ave & Nostrand Ave,40.68402,-73.94977
3454,Leonard St & Maujer St,40.7103685423523,-73.94705951213837
546,E 30 St & Park Ave S,40.74444921,-73.98303529
2017,E 43 St & 2 Ave,40.75022392,-73.97121414
3283,W 89 St & Columbus Ave,40.7882213,-73.97041561
3102,Driggs Ave & Lorimer St,40.72179134,-73.9504154
303,Mercer St & Spring St,40.72362738,-73.99949601
174,E 25 St & 1 Ave,40.7381765,-73.97738662
3508,St Nicholas Ave & Manhattan Ave,40.809725,-73.953149
3066,Tompkins Ave & Hopkins St,40.69957608,-73.94708417
456,E 53 St & Madison Ave,40.7597108,-73.97402311
497,E 17 St & Broadway,40.73704984,-73.99009296
3844,Myrtle Ave & Linden St,40.69943,-73.91337
3775,Suydam St & Knickerbocker Ave,40.702013,-73.923769
3148,E 84 St & 1 Ave,40.77565541,-73.95068615
3575,Crescent St & 34 Ave,40.76108,-73.930562
364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854
